id,belongs_to_collection,budget,popularity,revenue,release_year,release_day,outcome,en,EUR + AUS,ASIA + AFRICA,AMERICA,Paramount Pictures,other_companies,Warner Bros.,Universal Pictures,Twentieth Century Fox Film Corporation,Thriller,Romance,Action,Drama,Comedy,Friday,Monday,Saturday,Thursday,Tuesday,Wednesday,budget_year_ratio
22,0,21625382,1.252367,8403433,1992,Friday,FALSE,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3
23,0,10000000,4.305735,13835130,1997,Monday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
24,0,11000000,10.841891,7847000,2013,Saturday,FALSE,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2
25,0,6000000,6.759181,5849647,1986,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
26,0,45000000,7.81862,94935764,2002,Sunday,TRUE,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5
27,0,13000000,16.086919,426480871,2011,Wednesday,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
28,0,12827500,5.69586,36000000,2005,Monday,TRUE,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
29,0,90000000,13.412445,146936910,2015,Wednesday,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
30,1,140000000,9.718111,258022233,2007,Wednesday,FALSE,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,5
31,0,30000000,8.234382,40346186,2012,Monday,FALSE,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4
32,0,50000000,13.676444,189859560,1995,Friday,TRUE,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,5
33,0,3000000,9.718713,16217773,1967,Thursday,TRUE,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
34,0,25000000,2.971999,24362772,2000,Friday,FALSE,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
35,0,6000000,9.383088,1020921,2014,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
36,0,15000000,5.615303,47175038,2005,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
37,0,3906840,2.382068,4300000,2009,Friday,FALSE,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
38,1,80000000,16.646029,660940780,2006,Thursday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5
39,0,44000000,20.328822,155760117,2015,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
40,1,38000000,8.105708,120000000,1994,Thursday,TRUE,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4
41,0,560000,1.572904,1500000,2008,Wednesday,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
42,0,12000000,4.473327,25333333,1965,Thursday,TRUE,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
43,0,10608714,1.012665,11000000,1980,Tuesday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44,0,15932978,5.410839,17514553,1988,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
45,0,20000000,8.759801,46069568,2016,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
46,0,24691611,9.122718,36448200,1993,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,3
47,0,21123700,2.94798,1056938,2009,Wednesday,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
48,1,125000000,17.038824,238207122,1997,Friday,FALSE,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5
49,0,14000000,3.909079,25482931,2002,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2
50,1,150000000,23.065078,599045960,2006,Tuesday,TRUE,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5
51,0,4000000,1.801071,14400000,1956,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
52,0,37056314,6.381612,25232289,1998,Friday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4
53,1,5000000,7.743144,14000000,1989,Friday,TRUE,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
54,0,12000000,11.160699,17654912,2013,Saturday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
55,1,1500000,8.822276,11806119,1988,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
56,0,2000000,14.284787,13129846,1962,Tuesday,TRUE,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
57,1,85000000,2.238808,158468292,2006,Saturday,FALSE,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,5
58,0,29000000,12.092096,21126225,2005,Friday,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4
59,0,3300896,7.667491,16756372,2004,Friday,TRUE,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
60,0,11000000,8.290384,8266343,1990,Thursday,FALSE,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2
61,0,17393,0.919556,17393,2004,Tuesday,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
62,0,445000,2.482536,2300000,1976,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
63,1,17000000,9.665251,24922237,2011,Thursday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
64,0,500000,0.660663,500000,2000,Friday,FALSE,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
65,1,6000000,10.451986,39846344,1980,Friday,TRUE,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2
66,0,11052676,2.633399,35610100,1981,Friday,TRUE,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2
67,0,1500000,6.636625,779820,2016,Thursday,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
68,0,15000000,4.98408,9237470,2002,Saturday,FALSE,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3
69,0,10284523,4.349046,11588205,2005,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2
70,0,43000000,10.947957,91974818,2005,Friday,TRUE,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,4
71,1,28000000,7.482865,40400657,1984,Thursday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
72,0,2000000,10.239941,13101672,2011,Friday,TRUE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,0,50000000,7.260574,152022101,1995,Friday,TRUE,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,5
74,0,8000000,9.741644,106260000,1979,Tuesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
75,0,7500000,12.314278,32392047,1995,Monday,TRUE,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2
76,0,20000000,13.655178,13162475,2017,Friday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
77,0,24691611,4.359884,140081992,1993,Friday,TRUE,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3
78,1,30000000,25.261865,180949000,2003,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4
79,0,2000000,3.83196,215339,2001,Friday,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
80,0,35000000,1.690768,15000000,1995,Wednesday,FALSE,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4
81,0,39818070,14.322814,2724474,2008,Thursday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
82,0,15000000,18.184056,20117339,2001,Wednesday,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3
83,0,10500000,11.003515,23000000,2012,Friday,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
84,0,6000000,5.529808,46616067,1988,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2
85,0,7000000,7.958502,9229401,1990,Friday,FALSE,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2
86,0,60000000,11.93646,313542341,2001,Tuesday,TRUE,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,5
87,0,8688891,1.066558,14961069,2007,Saturday,FALSE,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2
88,0,40137112,2.401289,5310554,2012,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
89,1,166666,1.590383,149521495,2014,Thursday,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
90,0,10900000,13.454169,16505460,2013,Sunday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
91,0,31000000,6.523155,15134293,2010,Thursday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
92,0,72000000,20.755149,210000000,1995,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5
93,0,14000000,3.873796,18535191,1999,Thursday,FALSE,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3
94,0,15000000,3.210693,34562222,1966,Monday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3
95,0,75000000,13.136791,67631903,2001,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,5
96,0,35000000,5.093704,22034832,2004,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,4
97,0,100000000,11.696923,93820758,2015,Friday,FALSE,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,5
98,0,20000000,4.619593,51684798,1988,Friday,TRUE,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,3
99,1,93000000,32.070725,871368364,2001,Tuesday,TRUE,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5
100,0,25000000,5.00725,41604473,2002,Friday,FALSE,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3
101,0,41481107,11.356011,253625427,2007,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4
102,0,24691611,4.304224,1796389,1993,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
103,0,12716953,6.183021,18814720,1997,Friday,FALSE,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2
104,1,90000000,8.345985,347325802,2001,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,5
105,1,150000000,12.453452,448000000,1999,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
106,0,1500000,1.961208,5585154,1990,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
107,0,25000000,8.369176,91036760,2000,Monday,TRUE,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,3
108,0,7500000,16.376657,60722734,2009,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2
109,0,40000000,14.622493,7400000,2008,Thursday,FALSE,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
110,0,9466274,5.695908,15500000,1978,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2
111,0,10000000,7.886926,12008642,2000,Friday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
112,0,18000000,9.929809,46201432,2005,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
113,0,2400000,5.230661,5731103,1996,Wednesday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
114,0,4000000,10.130541,9800000,2013,Wednesday,TRUE,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
115,0,38395871,1.079975,2452566,2000,Saturday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
116,0,65000000,11.73956,211780824,2010,Thursday,TRUE,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,5
117,0,10000000,11.840495,33000000,2007,Thursday,TRUE,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
118,0,2000000,1.372493,300000,2006,Thursday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
119,0,9000000,8.888278,4350774,1994,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
120,0,40047132,10.245682,3065860,2010,Friday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4
121,1,110000000,0.913096,407711549,2003,Thursday,TRUE,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5
122,0,14320000,0.585397,14000000,1968,Thursday,FALSE,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3
123,0,40464301,7.008512,31466789,2003,Sunday,FALSE,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
124,0,3500000,5.353826,615816,2016,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
125,0,4000000,6.216637,11000000,1967,Thursday,TRUE,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
126,1,15932978,10.278957,19510371,1988,Thursday,FALSE,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3
127,0,39200000,14.131906,86758912,2013,Thursday,TRUE,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4
128,1,21679175,9.322717,147214049,1992,Friday,TRUE,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3
129,0,4000000,10.200398,52425855,2015,Friday,TRUE,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
130,0,13113787,2.620456,5091888,1983,Tuesday,FALSE,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
131,1,20000000,8.759774,109862682,2002,Thursday,TRUE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
132,1,3500000,0.768181,8262833,2005,Saturday,TRUE,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
133,0,63600000,6.047757,19412993,2000,Friday,FALSE,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,5
134,0,32000000,7.54701,18552460,1995,Thursday,FALSE,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
135,0,15932978,1.319188,12277096,1988,Friday,FALSE,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,3
136,0,125000,10.850569,3200000,2011,Sunday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
137,0,9000000,5.997054,17096053,1998,Thursday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2
138,0,40000000,9.825841,62771059,2007,Thursday,FALSE,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4
139,1,12584742,8.802715,1723872,1982,Sunday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140,0,19000000,10.966015,144216468,2005,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3
141,1,5000000,6.501177,41833347,1975,Wednesday,TRUE,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
142,1,2000000,11.189831,24600832,1981,Thursday,TRUE,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
143,1,13773002,9.021668,55600000,1985,Thursday,TRUE,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
144,0,14797672,5.524866,2585639,1987,Sunday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
145,1,3500000,8.55931,12000000,1966,Wednesday,TRUE,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
146,1,11000000,8.929393,2807854,1991,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
147,1,12468389,6.116093,29007412,2011,Friday,TRUE,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
148,1,38000000,1.406181,207283925,2001,Friday,TRUE,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,4
149,0,90000000,5.496624,14828081,2000,Friday,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
150,1,15000000,14.778884,125212904,1982,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3
151,1,32000000,11.137888,156167015,1989,Friday,TRUE,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4
152,0,30000000,5.844016,31148328,2008,Tuesday,FALSE,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4
153,0,39212059,5.725912,20957001,2002,Thursday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
154,0,20087145,10.313689,21830957,1991,Friday,FALSE,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3
155,0,6000000,9.534232,17555141,2010,Thursday,TRUE,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2
156,0,82500000,9.796552,237681299,2006,Thursday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,5
157,0,14000000,1.36737,161001698,1997,Thursday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
158,1,5000000,3.172765,3833507,2006,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
159,0,259000,0.722511,921000,1928,Saturday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
160,0,180000000,16.088366,521311860,2008,Sunday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
161,0,43532418,12.017861,16337881,2014,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5
162,1,4000000,5.263187,16675000,1996,Friday,TRUE,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
163,0,40000000,7.271503,79700000,2012,Thursday,FALSE,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,4
164,0,46449559,6.395748,37915971,2016,Friday,FALSE,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
165,1,13115039,13.762328,13168027,1983,Wednesday,FALSE,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2
166,0,4500000,3.311392,744816,2009,Saturday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
167,0,36000,1.165679,115605,2008,Wednesday,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
168,0,60000000,12.915358,77920346,2006,Wednesday,FALSE,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,5
169,0,24000000,3.69298,12372410,2000,Friday,FALSE,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3
170,0,12600000,11.695036,19054534,2014,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
171,0,85000000,10.254314,144000000,2006,Friday,FALSE,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
172,0,10000000,11.509677,3916303,1988,Thursday,FALSE,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2
173,0,55000000,7.713231,110000000,2013,Wednesday,FALSE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5
174,0,75000000,14.302911,527068851,2007,Wednesday,TRUE,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5
175,0,3200000,6.174699,10000000,1985,Friday,TRUE,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
176,0,2000000,5.396271,2801508,2015,Thursday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
177,0,21671898,3.14325,1543112,1992,Friday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3
178,1,15000000,7.024227,66000000,1995,Friday,TRUE,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3
179,0,26890359,8.096719,4352094,1994,Friday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
180,0,100000000,8.140709,108103450,2004,Friday,FALSE,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
181,0,22000000,7.145784,26570463,1997,Thursday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
182,1,7000000,19.726114,470654000,1975,Wednesday,TRUE,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
183,0,24659085,2.011108,3418141,1993,Friday,FALSE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
184,0,6700000,1.312833,31000000,2012,Friday,TRUE,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
185,0,20000000,13.132127,1969193,2012,Saturday,FALSE,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3
186,0,35000000,7.321172,173965010,2013,Thursday,TRUE,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
187,1,35000000,6.493765,83061158,2014,Friday,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
188,0,10000000,11.341505,85300000,1981,Thursday,TRUE,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2
189,1,875000,2.972928,5010362,1980,Friday,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
190,0,2600000,2.203949,3166000,2004,Friday,FALSE,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
